start_date,end_date,data_set,minimum_profit,cut_off,moving_average_count,winners.size,losers.size,winning_percentage,cut_off_percentage
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-5,10,3,2,60.0,-50.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,USDCAD,2,-5,10,1,0,100.0,-50.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,USDCHF,2,-5,10,2,0,100.0,-50.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,2,-5,10,1,3,25.0,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,AUDUSD,2,-5,10,1,0,100.0,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURUSD,2,-5,10,1,1,50.0,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,USDCAD,2,-5,10,1,0,100.0,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,USDCHF,2,-5,10,2,0,100.0,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,NZDUSD,2,-5,10,0,2,0.0,-50.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,2,-5,10,2,5,28.57,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-5,10,1,3,25.0,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,USDCHF,2,-5,10,2,1,66.67,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,2,-5,10,1,3,25.0,-50.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,2,-5,10,2,5,28.57,-50.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,2,-5,10,1,3,25.0,-50.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,USDCHF,2,-5,10,2,1,66.67,-50.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,2,-5,10,1,1,50.0,-50.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,USDJPY,2,-5,10,0,2,0.0,-50.0
2007-08-02T00:00:00+00:00,2009-08-02T00:00:00+00:00,EURJPY,2,-5,10,0,1,0.0,-50.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,AUDUSD,2,-4,6,1,0,100.0,-66.67
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURGBP,2,-4,6,3,2,60.0,-66.67
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURUSD,2,-4,6,1,2,33.33,-66.67
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,USDCHF,2,-4,6,1,2,33.33,-66.67
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,EURJPY,2,-4,6,2,4,33.33,-66.67
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,AUDUSD,2,-4,6,3,0,100.0,-66.67
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURCHF,2,-4,6,3,1,75.0,-66.67
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURGBP,2,-4,6,4,2,66.67,-66.67
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,2,-4,6,1,5,16.67,-66.67
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCAD,2,-4,6,2,1,66.67,-66.67
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,2,-4,6,5,3,62.5,-66.67
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURJPY,2,-4,6,3,5,37.5,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,AUDUSD,2,-4,6,2,0,100.0,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURCHF,2,-4,6,5,1,83.33,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURGBP,2,-4,6,2,0,100.0,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,2,-4,6,1,5,16.67,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,GBPUSD,2,-4,6,2,1,66.67,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCAD,2,-4,6,2,1,66.67,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCHF,2,-4,6,5,2,71.43,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,NZDUSD,2,-4,6,0,2,0.0,-66.67
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURJPY,2,-4,6,2,5,28.57,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,AUDUSD,2,-4,6,1,1,50.0,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURCHF,2,-4,6,2,0,100.0,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-4,6,2,4,33.33,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,GBPUSD,2,-4,6,4,2,66.67,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,USDCAD,2,-4,6,1,0,100.0,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,USDCHF,2,-4,6,2,1,66.67,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,NZDUSD,2,-4,6,0,2,0.0,-66.67
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURJPY,2,-4,6,1,4,20.0,-66.67
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,AUDUSD,2,-4,6,2,2,50.0,-66.67
